AVONET 2022;BirdLife;Rational
Sylvia undata;Curruca undata;
Rhopocichla atriceps;Dumetia atriceps;
Geomalia heinrichi;Zoothera heinrichi;
Yuhina castaniceps;Staphida castaniceps;
Yuhina diademata;Parayuhina diademata;
Yuhina everetti;Staphida everetti;
Yuhina torqueola;Staphida torqueola;
Dinopium rafflesii;Chloropicoides rafflesii;
Tanygnathus everetti;NA;No range map
Gracula robusta;NA;No range map
